[2024-02-12 05:39:28:23916] DEBUG 46446 --- [nnection closer] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Closing connection org.postgresql.jdbc.PgConnection@36ff137c: (connection evicted)
[2024-02-12 05:39:28:23918] DEBUG 46446 --- [nnection closer] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Closing connection org.postgresql.jdbc.PgConnection@679d2e41: (connection evicted)
[2024-02-12 05:39:28:23918] DEBUG 46446 --- [nnection closer] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Closing connection org.postgresql.jdbc.PgConnection@2e1e70b4: (connection evicted)
[2024-02-12 05:39:28:23918] DEBUG 46446 --- [nnection closer] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Closing connection org.postgresql.jdbc.PgConnection@63d3b565: (connection evicted)
[2024-02-12 05:39:28:23918] DEBUG 46446 --- [nnection closer] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Closing connection org.postgresql.jdbc.PgConnection@79bf08da: (connection evicted)
[2024-02-12 05:39:28:23918] DEBUG 46446 --- [nnection closer] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Closing connection org.postgresql.jdbc.PgConnection@79781c1f: (connection evicted)
[2024-02-12 05:39:28:23918] DEBUG 46446 --- [nnection closer] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Closing connection org.postgresql.jdbc.PgConnection@16aeaf36: (connection evicted)
[2024-02-12 05:39:28:23918] DEBUG 46446 --- [       Thread-5] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - After shutdown stats (total=0, active=0, idle=0, waiting=0)
[2024-02-12 05:39:28:23918] INFO  46446 --- [       Thread-5] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
[2024-02-12 05:39:28:23928] DEBUG 46446 --- [       Thread-5] o.s.b.d.r.c.RestartClassLoader           : Created RestartClassLoader org.springframework.boot.devtools.restart.classloader.RestartClassLoader@4b52f3d6
[2024-02-12 05:39:28:23928] DEBUG 46446 --- [       Thread-5] o.s.boot.devtools.restart.Restarter      : Starting application com.meta.ponkids.PonkidsApplication with URLs [file:/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main/, file:/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/resources/main/]
[2024-02-12 05:39:28:24060] INFO  46446 --- [  restartedMain] com.meta.ponkids.PonkidsApplication      : Starting PonkidsApplication using Java 17.0.8 on jjeoV-MacBook-Air.local with PID 46446 (/Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids/build/classes/java/main started by jjeoV in /Users/jjeoV/Desktop/jjeoV/2023/pioneerKids/workspace/ponkidsDev/ponkids)
[2024-02-12 05:39:28:24060] DEBUG 46446 --- [  restartedMain] com.meta.ponkids.PonkidsApplication      : Running with Spring Boot v2.7.17, Spring v5.3.30
[2024-02-12 05:39:28:24060] INFO  46446 --- [  restartedMain] com.meta.ponkids.PonkidsApplication      : The following 2 profiles are active: "sns", "localmac"
[2024-02-12 05:39:28:24060] DEBUG 46446 --- [  restartedMain] o.s.boot.SpringApplication               : Loading source class com.meta.ponkids.PonkidsApplication
[2024-02-12 05:39:28:24062] DEBUG 46446 --- [  restartedMain] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@17dce150
[2024-02-12 05:39:28:24062] DEBUG 46446 --- [  restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
